Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
707	0.420476317289586		0.625740423677643		1.06877458095551	0.417514364113479	0.667667504449143	0.62533276118919	0.00187646879107656	99.5688591854805
704	0.340126131606011		0.512900734187122		1.05739140510559	0.337164178429904	0.541240673818222	0.622946860315125	0.00181182654266001	99.5836805434054
701	0.299257734552516		0.458506585997488		1.04672133922577	0.296295781376409	0.478843534774019	0.618773690901434	0.00171831655513782	99.605124682573
698	0.293104865466994		0.454111736924473		1.03894531726837	0.290142912290887	0.470720230711349	0.616380799806342	0.00169144482396438	99.6112878853136
695	0.319497507726036		0.497168835141097		1.03592443466187	0.316535554549929	0.513955444216863	0.615881314443996	0.00170272916779192	99.6086997027199
692	0.361392684865761		0.562434569133238		1.03646862506866	0.358430731689653	0.581871320162623	0.615996560183579	0.00176530191996271	99.5943492060997
689	0.391292164879345		0.608599953928018		1.0377025604248	0.388330211703238	0.630469986897494	0.615937665191943	0.00184628339632214	99.575779903786
686	0.40606641607153		0.631912835457179		1.03746140003204	0.403104462895423	0.654509681404656	0.61588770089743	0.0018820622007725	99.5675768163528
683	0.406218519952759		0.632513539342718		1.03570008277893	0.403256566776651	0.654020657374241	0.616580779566878	0.00190699338215226	99.5618611875082
680	0.399222459342286		0.622424102737525		1.0333856344223	0.396260506166179	0.642132857898772	0.617100497649112	0.00193612631162763	99.5551826974095
677	0.406696424156171		0.635280694025264		1.03072738647461	0.403734470980064	0.653732696738383	0.617583414435877	0.00196354594809036	99.5488973752151
674	0.418253857429082		0.654409412210548		1.0278697013855	0.415291904252975	0.67158205686527	0.618378498960238	0.00199661459564172	99.5413176747773
671	0.428985385401338		0.672237231200591		1.02485907077789	0.42602343222523	0.687885994860032	0.619322729941487	0.00200343836939381	99.5397536620558
668	0.437717949148182		0.687057073670671		1.02161717414856	0.434755995972075	0.70085023757261	0.62032653006989	0.00206727955898294	99.5251224164369
665	0.444093194026272		0.698031899066271		1.01794040203094	0.441131240850165	0.709499615014788	0.621749795933252	0.00207325709039467	99.5237525844998
662	0.448638531685112		0.706253723374239		1.01405811309814	0.445676578509005	0.715131085751538	0.623209628820204	0.00211389759468315	99.5144397646957
659	0.459046963650358		0.723723592689198		1.01044762134552	0.456085010474251	0.730237293250868	0.624570964383171	0.00214459689096509	99.5074055622727
656	0.475507690208119		0.750847650198003		1.00736176967621	0.472545737032012	0.755330927142634	0.625614177906922	0.00216472172222195	99.5027945818638
653	0.500599084913767		0.791820184824324		1.00482106208801	0.49763713173766	0.794595942426923	0.626276960611873	0.00222435426335424	99.4891328905738
